SMS Text,Label
Fraud alert: Unusual login activity detected. Verify identity at http://bank-secure.net,Scam
"Dear user, you've been selected for a free reward. Claim at http://update-info.org",Scam
Your loan of ₹52532 is approved. Click here to apply now: http://bank-secure.net,Scam
Fraud alert: Unusual login activity detected. Verify identity at http://bank-secure.net,Scam
ATM blocked. Update card details at http://update-info.org immediately.,Scam
Electricity bill of ₹80067 paid successfully on 19-04-2025.,Legit
Your account XXXX9912 is credited with ₹98411 on 11-06-2025. Avl Bal: ₹90482,Legit
You have pending income tax refund. Submit your bank details: http://secure-loan.cc,Scam
Your account XXXX7387 is credited with ₹83592 on 17-12-2025. Avl Bal: ₹10215,Legit
Payment of ₹69221 to Amazon was successful. UPI Ref: Q0E4PQSH0SL9,Legit
Your debit card ending with 2192 has been dispatched via BlueDart.,Legit
Your bank account has been locked. Click http://update-info.org to unlock now.,Scam
Your bank account has been locked. Click http://secure-loan.cc to unlock now.,Scam
Your account will be suspended unless KYC is updated immediately at http://kyc-verify.cc,Scam
Payment of ₹8406 to Amazon was successful. UPI Ref: DNB16KTK0OSE,Legit
"Dear user, you've been selected for a free reward. Claim at http://secure-loan.cc",Scam
Your loan of ₹21436 is approved. Click here to apply now: http://bank-secure.net,Scam
You have pending income tax refund. Submit your bank details: http://kyc-verify.cc,Scam
IRCTC booking confirmed. PNR: CFLF0K6G5HXV. Journey date: 05-07-2025,Legit
Your bank account has been locked. Click http://secure-loan.cc to unlock now.,Scam
You have pending income tax refund. Submit your bank details: http://bank-secure.net,Scam
You have pending income tax refund. Submit your bank details: http://bank-secure.net,Scam
Fraud alert: Unusual login activity detected. Verify identity at http://kyc-verify.cc,Scam
Aadhaar authentication successful. Thank you for verifying your identity.,Legit
Your account will be suspended unless KYC is updated immediately at http://update-info.org,Scam
Electricity bill of ₹93811 paid successfully on 27-02-2025.,Legit
"Dear customer, your mobile number is updated successfully.",Legit
Payment of ₹44592 to Amazon was successful. UPI Ref: 88Y6XN8FFNJG,Legit
Welcome to HDFC NetBanking. Login credentials sent to your registered email.,Legit
Welcome to HDFC NetBanking. Login credentials sent to your registered email.,Legit
PAN verification pending. Click http://bank-secure.net to verify or your account will be closed.,Scam
"Dear customer, your mobile number is updated successfully.",Legit
Electricity bill of ₹94603 paid successfully on 15-09-2025.,Legit
Your loan of ₹3883 is approved. Click here to apply now: http://secure-loan.cc,Scam
