SMS Text,Label
Congratulations! You won ₹40382. Claim now: http://fake333.com,Scam
"Dear customer, update your KYC immediately at http://fake923.com.",Scam
Final warning: Repay loan today to avoid legal action. Pay at http://fake493.com.,Scam
Your loan of ₹26198 has been approved. Click http://fake836.com to claim.,Scam
Congratulations! You won ₹2828. Claim now: http://fake494.com,Scam
Congratulations! You won ₹14295. Claim now: http://fake781.com,Scam
Final warning: Repay loan today to avoid legal action. Pay at http://fake241.com.,Scam
Your account is blocked. Visit http://fake938.com to unblock.,Scam
Urgent: Your PAN is flagged. Click http://fake222.com to verify.,Scam
Axis Bank: A/c XX123 debited ₹49916. Info: Shopping Amazon.,Legit
Your account has been credited with ₹22764. Bal: ₹32688.,Legit
Final warning: Repay loan today to avoid legal action. Pay at http://fake670.com.,Scam
"Dear customer, update your KYC immediately at http://fake379.com.",Scam
SBI: A/c XX999 credited ₹11653. IFSC: SBIN0001234.,Legit
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
"Dear customer, update your KYC immediately at http://fake709.com.",Scam
Your account has been credited with ₹28480. Bal: ₹73928.,Legit
Congratulations! You won ₹22008. Claim now: http://fake692.com,Scam
Your account has been credited with ₹968. Bal: ₹66026.,Legit
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Your loan of ₹11405 has been approved. Click http://fake335.com to claim.,Scam
Paytm: ₹12907 received from 98XXXXXX via UPI.,Legit
SBI: A/c XX999 credited ₹25544. IFSC: SBIN0001234.,Legit
"Dear customer, update your KYC immediately at http://fake958.com.",Scam
Congratulations! You won ₹15455. Claim now: http://fake380.com,Scam
"Dear user, your EMI of ₹3327 is due on 5th. Pay via app.",Legit
"Dear customer, update your KYC immediately at http://fake138.com.",Scam
Axis Bank: A/c XX123 debited ₹28823. Info: Shopping Amazon.,Legit
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Your account has been credited with ₹43209. Bal: ₹74761.,Legit
Final warning: Repay loan today to avoid legal action. Pay at http://fake136.com.,Scam
"Dear customer, update your KYC immediately at http://fake939.com.",Scam
Thank you for your payment of ₹41365.,Legit
Final warning: Repay loan today to avoid legal action. Pay at http://fake248.com.,Scam
Thank you for your payment of ₹24905.,Legit
Your account is blocked. Visit http://fake146.com to unblock.,Scam
"Dear customer, update your KYC immediately at http://fake480.com.",Scam
Axis Bank: A/c XX123 debited ₹39253. Info: Shopping Amazon.,Legit
Congratulations! You won ₹8240. Claim now: http://fake345.com,Scam
Urgent: Your PAN is flagged. Click http://fake153.com to verify.,Scam
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Your loan of ₹1071 has been approved. Click http://fake691.com to claim.,Scam
Your loan of ₹1051 has been approved. Click http://fake462.com to claim.,Scam
Your account has been credited with ₹38686. Bal: ₹88892.,Legit
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
"Dear user, your EMI of ₹44262 is due on 5th. Pay via app.",Legit
Final warning: Repay loan today to avoid legal action. Pay at http://fake771.com.,Scam
Your account has been credited with ₹45525. Bal: ₹1191.,Legit
Thank you for your payment of ₹25924.,Legit
"Dear user, your EMI of ₹25165 is due on 5th. Pay via app.",Legit
"Dear user, your EMI of ₹31912 is due on 5th. Pay via app.",Legit
Get ₹45713 instantly credited. Apply now at http://fake997.com.,Scam
"Dear customer, update your KYC immediately at http://fake781.com.",Scam
Paytm: ₹19718 received from 98XXXXXX via UPI.,Legit
"Dear customer, update your KYC immediately at http://fake140.com.",Scam
"Dear customer, update your KYC immediately at http://fake657.com.",Scam
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Your loan of ₹2478 has been approved. Click http://fake689.com to claim.,Scam
Your account is blocked. Visit http://fake234.com to unblock.,Scam
SBI: A/c XX999 credited ₹26556. IFSC: SBIN0001234.,Legit
Axis Bank: A/c XX123 debited ₹18171. Info: Shopping Amazon.,Legit
Paytm: ₹7674 received from 98XXXXXX via UPI.,Legit
Congratulations! You won ₹4288. Claim now: http://fake830.com,Scam
Get ₹38833 instantly credited. Apply now at http://fake729.com.,Scam
Urgent: Your PAN is flagged. Click http://fake483.com to verify.,Scam
Paytm: ₹24704 received from 98XXXXXX via UPI.,Legit
Your account has been credited with ₹17275. Bal: ₹23784.,Legit
Thank you for your payment of ₹15074.,Legit
"Dear customer, update your KYC immediately at http://fake932.com.",Scam
SBI: A/c XX999 credited ₹1650. IFSC: SBIN0001234.,Legit
Thank you for your payment of ₹3810.,Legit
Urgent: Your PAN is flagged. Click http://fake221.com to verify.,Scam
Congratulations! You won ₹19590. Claim now: http://fake705.com,Scam
Paytm: ₹40584 received from 98XXXXXX via UPI.,Legit
Final warning: Repay loan today to avoid legal action. Pay at http://fake940.com.,Scam
Your account is blocked. Visit http://fake806.com to unblock.,Scam
Urgent: Your PAN is flagged. Click http://fake463.com to verify.,Scam
SBI: A/c XX999 credited ₹39373. IFSC: SBIN0001234.,Legit
Your account is blocked. Visit http://fake931.com to unblock.,Scam
Congratulations! You won ₹42890. Claim now: http://fake696.com,Scam
Final warning: Repay loan today to avoid legal action. Pay at http://fake246.com.,Scam
SBI: A/c XX999 credited ₹7601. IFSC: SBIN0001234.,Legit
Get ₹13302 instantly credited. Apply now at http://fake979.com.,Scam
Axis Bank: A/c XX123 debited ₹42260. Info: Shopping Amazon.,Legit
Your account is blocked. Visit http://fake186.com to unblock.,Scam
Urgent: Your PAN is flagged. Click http://fake994.com to verify.,Scam
Congratulations! You won ₹9034. Claim now: http://fake548.com,Scam
Your loan of ₹17300 has been approved. Click http://fake368.com to claim.,Scam
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Your loan of ₹44093 has been approved. Click http://fake519.com to claim.,Scam
Your loan of ₹16731 has been approved. Click http://fake197.com to claim.,Scam
Paytm: ₹43247 received from 98XXXXXX via UPI.,Legit
Your account is blocked. Visit http://fake795.com to unblock.,Scam
SBI: A/c XX999 credited ₹4379. IFSC: SBIN0001234.,Legit
SBI: A/c XX999 credited ₹37171. IFSC: SBIN0001234.,Legit
Paytm: ₹2708 received from 98XXXXXX via UPI.,Legit
Congratulations! You won ₹7236. Claim now: http://fake120.com,Scam
Your account has been credited with ₹45091. Bal: ₹41764.,Legit
"Dear user, your EMI of ₹42144 is due on 5th. Pay via app.",Legit
Axis Bank: A/c XX123 debited ₹44724. Info: Shopping Amazon.,Legit
Urgent: Your PAN is flagged. Click http://fake274.com to verify.,Scam
SBI: A/c XX999 credited ₹37087. IFSC: SBIN0001234.,Legit
Urgent: Your PAN is flagged. Click http://fake164.com to verify.,Scam
"Dear user, your EMI of ₹42564 is due on 5th. Pay via app.",Legit
Urgent: Your PAN is flagged. Click http://fake977.com to verify.,Scam
Thank you for your payment of ₹3327.,Legit
Paytm: ₹10766 received from 98XXXXXX via UPI.,Legit
Urgent: Your PAN is flagged. Click http://fake456.com to verify.,Scam
Axis Bank: A/c XX123 debited ₹25295. Info: Shopping Amazon.,Legit
Thank you for your payment of ₹25467.,Legit
Your loan of ₹36307 has been approved. Click http://fake692.com to claim.,Scam
Your account has been credited with ₹48298. Bal: ₹4327.,Legit
Urgent: Your PAN is flagged. Click http://fake888.com to verify.,Scam
Paytm: ₹49816 received from 98XXXXXX via UPI.,Legit
"Dear user, your EMI of ₹33784 is due on 5th. Pay via app.",Legit
Get ₹45880 instantly credited. Apply now at http://fake353.com.,Scam
"Dear customer, update your KYC immediately at http://fake866.com.",Scam
Thank you for your payment of ₹41259.,Legit
"Dear customer, update your KYC immediately at http://fake431.com.",Scam
Congratulations! You won ₹17922. Claim now: http://fake852.com,Scam
Your loan of ₹4715 has been approved. Click http://fake899.com to claim.,Scam
Your loan of ₹49379 has been approved. Click http://fake900.com to claim.,Scam
"Dear customer, update your KYC immediately at http://fake314.com.",Scam
Thank you for your payment of ₹20736.,Legit
Axis Bank: A/c XX123 debited ₹20996. Info: Shopping Amazon.,Legit
Congratulations! You won ₹41617. Claim now: http://fake594.com,Scam
Thank you for your payment of ₹40909.,Legit
Final warning: Repay loan today to avoid legal action. Pay at http://fake536.com.,Scam
Thank you for your payment of ₹26132.,Legit
Axis Bank: A/c XX123 debited ₹31478. Info: Shopping Amazon.,Legit
Your loan of ₹13916 has been approved. Click http://fake430.com to claim.,Scam
Thank you for your payment of ₹26060.,Legit
SBI: A/c XX999 credited ₹28276. IFSC: SBIN0001234.,Legit
Urgent: Your PAN is flagged. Click http://fake737.com to verify.,Scam
Your account has been credited with ₹47571. Bal: ₹45775.,Legit
"Dear customer, update your KYC immediately at http://fake757.com.",Scam
Axis Bank: A/c XX123 debited ₹49135. Info: Shopping Amazon.,Legit
Final warning: Repay loan today to avoid legal action. Pay at http://fake869.com.,Scam
Final warning: Repay loan today to avoid legal action. Pay at http://fake802.com.,Scam
Your account has been credited with ₹32714. Bal: ₹37843.,Legit
Paytm: ₹21418 received from 98XXXXXX via UPI.,Legit
Urgent: Your PAN is flagged. Click http://fake217.com to verify.,Scam
Axis Bank: A/c XX123 debited ₹14363. Info: Shopping Amazon.,Legit
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Congratulations! You won ₹10999. Claim now: http://fake237.com,Scam
Urgent: Your PAN is flagged. Click http://fake750.com to verify.,Scam
"Dear user, your EMI of ₹22768 is due on 5th. Pay via app.",Legit
Thank you for your payment of ₹27743.,Legit
Urgent: Your PAN is flagged. Click http://fake738.com to verify.,Scam
Paytm: ₹40248 received from 98XXXXXX via UPI.,Legit
Axis Bank: A/c XX123 debited ₹25736. Info: Shopping Amazon.,Legit
Thank you for your payment of ₹10881.,Legit
"Dear user, your EMI of ₹28753 is due on 5th. Pay via app.",Legit
Get ₹32767 instantly credited. Apply now at http://fake590.com.,Scam
Get ₹24669 instantly credited. Apply now at http://fake977.com.,Scam
Get ₹29518 instantly credited. Apply now at http://fake928.com.,Scam
Your loan of ₹40658 has been approved. Click http://fake821.com to claim.,Scam
Congratulations! You won ₹33769. Claim now: http://fake896.com,Scam
"Dear user, your EMI of ₹37130 is due on 5th. Pay via app.",Legit
Your loan of ₹24557 has been approved. Click http://fake181.com to claim.,Scam
SBI: A/c XX999 credited ₹28037. IFSC: SBIN0001234.,Legit
"Dear customer, update your KYC immediately at http://fake700.com.",Scam
Urgent: Your PAN is flagged. Click http://fake509.com to verify.,Scam
SBI: A/c XX999 credited ₹2589. IFSC: SBIN0001234.,Legit
Final warning: Repay loan today to avoid legal action. Pay at http://fake530.com.,Scam
Final warning: Repay loan today to avoid legal action. Pay at http://fake481.com.,Scam
Urgent: Your PAN is flagged. Click http://fake648.com to verify.,Scam
SBI: A/c XX999 credited ₹46772. IFSC: SBIN0001234.,Legit
"Dear user, your EMI of ₹8320 is due on 5th. Pay via app.",Legit
Congratulations! You won ₹28236. Claim now: http://fake995.com,Scam
Final warning: Repay loan today to avoid legal action. Pay at http://fake306.com.,Scam
Your loan of ₹18970 has been approved. Click http://fake638.com to claim.,Scam
"Dear user, your EMI of ₹36470 is due on 5th. Pay via app.",Legit
Final warning: Repay loan today to avoid legal action. Pay at http://fake357.com.,Scam
Congratulations! You won ₹40052. Claim now: http://fake933.com,Scam
"Dear customer, update your KYC immediately at http://fake490.com.",Scam
SBI: A/c XX999 credited ₹14073. IFSC: SBIN0001234.,Legit
Final warning: Repay loan today to avoid legal action. Pay at http://fake313.com.,Scam
Your account is blocked. Visit http://fake579.com to unblock.,Scam
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Your loan of ₹12609 has been approved. Click http://fake267.com to claim.,Scam
SBI: A/c XX999 credited ₹6840. IFSC: SBIN0001234.,Legit
Your account is blocked. Visit http://fake139.com to unblock.,Scam
Thank you for your payment of ₹8212.,Legit
Urgent: Your PAN is flagged. Click http://fake625.com to verify.,Scam
SBI: A/c XX999 credited ₹48613. IFSC: SBIN0001234.,Legit
Get ₹16554 instantly credited. Apply now at http://fake308.com.,Scam
Your account is blocked. Visit http://fake654.com to unblock.,Scam
Final warning: Repay loan today to avoid legal action. Pay at http://fake875.com.,Scam
Your account is blocked. Visit http://fake394.com to unblock.,Scam
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Your loan of ₹8611 has been approved. Click http://fake551.com to claim.,Scam
Urgent: Your PAN is flagged. Click http://fake267.com to verify.,Scam
"Dear customer, update your KYC immediately at http://fake755.com.",Scam
Your loan of ₹46761 has been approved. Click http://fake262.com to claim.,Scam
"Dear customer, update your KYC immediately at http://fake663.com.",Scam
Paytm: ₹34012 received from 98XXXXXX via UPI.,Legit
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Final warning: Repay loan today to avoid legal action. Pay at http://fake593.com.,Scam
Get ₹24836 instantly credited. Apply now at http://fake677.com.,Scam
Urgent: Your PAN is flagged. Click http://fake911.com to verify.,Scam
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Get ₹33242 instantly credited. Apply now at http://fake896.com.,Scam
Your account is blocked. Visit http://fake199.com to unblock.,Scam
Your loan of ₹16187 has been approved. Click http://fake385.com to claim.,Scam
"Dear customer, update your KYC immediately at http://fake962.com.",Scam
Final warning: Repay loan today to avoid legal action. Pay at http://fake268.com.,Scam
SBI: A/c XX999 credited ₹10220. IFSC: SBIN0001234.,Legit
Urgent: Your PAN is flagged. Click http://fake346.com to verify.,Scam
Axis Bank: A/c XX123 debited ₹35492. Info: Shopping Amazon.,Legit
Urgent: Your PAN is flagged. Click http://fake285.com to verify.,Scam
"Dear customer, update your KYC immediately at http://fake202.com.",Scam
Paytm: ₹17168 received from 98XXXXXX via UPI.,Legit
Your account has been credited with ₹14778. Bal: ₹98799.,Legit
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Get ₹49112 instantly credited. Apply now at http://fake891.com.,Scam
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Paytm: ₹21691 received from 98XXXXXX via UPI.,Legit
Urgent: Your PAN is flagged. Click http://fake531.com to verify.,Scam
Urgent: Your PAN is flagged. Click http://fake590.com to verify.,Scam
SBI: A/c XX999 credited ₹37011. IFSC: SBIN0001234.,Legit
SBI: A/c XX999 credited ₹30267. IFSC: SBIN0001234.,Legit
Thank you for your payment of ₹29637.,Legit
"Dear user, your EMI of ₹1067 is due on 5th. Pay via app.",Legit
Your account has been credited with ₹5346. Bal: ₹60799.,Legit
Your account has been credited with ₹23460. Bal: ₹73847.,Legit
Your account is blocked. Visit http://fake895.com to unblock.,Scam
Urgent: Your PAN is flagged. Click http://fake808.com to verify.,Scam
"Dear user, your EMI of ₹38084 is due on 5th. Pay via app.",Legit
Your account is blocked. Visit http://fake690.com to unblock.,Scam
"Dear customer, update your KYC immediately at http://fake184.com.",Scam
Paytm: ₹44411 received from 98XXXXXX via UPI.,Legit
SBI: A/c XX999 credited ₹39842. IFSC: SBIN0001234.,Legit
Thank you for your payment of ₹5597.,Legit
Congratulations! You won ₹40371. Claim now: http://fake580.com,Scam
"Dear user, your EMI of ₹28331 is due on 5th. Pay via app.",Legit
Urgent: Your PAN is flagged. Click http://fake774.com to verify.,Scam
Your account is blocked. Visit http://fake366.com to unblock.,Scam
SBI: A/c XX999 credited ₹41484. IFSC: SBIN0001234.,Legit
SBI: A/c XX999 credited ₹41211. IFSC: SBIN0001234.,Legit
Final warning: Repay loan today to avoid legal action. Pay at http://fake554.com.,Scam
Your account has been credited with ₹21930. Bal: ₹42199.,Legit
Congratulations! You won ₹9174. Claim now: http://fake843.com,Scam
Thank you for your payment of ₹46414.,Legit
SBI: A/c XX999 credited ₹8090. IFSC: SBIN0001234.,Legit
"Dear customer, update your KYC immediately at http://fake614.com.",Scam
"Dear customer, update your KYC immediately at http://fake514.com.",Scam
SBI: A/c XX999 credited ₹47155. IFSC: SBIN0001234.,Legit
Urgent: Your PAN is flagged. Click http://fake862.com to verify.,Scam
Final warning: Repay loan today to avoid legal action. Pay at http://fake617.com.,Scam
Thank you for your payment of ₹24585.,Legit
"Dear user, your EMI of ₹13816 is due on 5th. Pay via app.",Legit
Final warning: Repay loan today to avoid legal action. Pay at http://fake898.com.,Scam
Paytm: ₹3939 received from 98XXXXXX via UPI.,Legit
Urgent: Your PAN is flagged. Click http://fake229.com to verify.,Scam
Thank you for your payment of ₹29120.,Legit
Your account is blocked. Visit http://fake810.com to unblock.,Scam
Your account is blocked. Visit http://fake454.com to unblock.,Scam
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Urgent: Your PAN is flagged. Click http://fake509.com to verify.,Scam
SBI: A/c XX999 credited ₹11139. IFSC: SBIN0001234.,Legit
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
"Dear user, your EMI of ₹8239 is due on 5th. Pay via app.",Legit
Your loan of ₹11455 has been approved. Click http://fake196.com to claim.,Scam
Congratulations! You won ₹31778. Claim now: http://fake945.com,Scam
SBI: A/c XX999 credited ₹34750. IFSC: SBIN0001234.,Legit
Congratulations! You won ₹10119. Claim now: http://fake841.com,Scam
Urgent: Your PAN is flagged. Click http://fake887.com to verify.,Scam
Axis Bank: A/c XX123 debited ₹30694. Info: Shopping Amazon.,Legit
Axis Bank: A/c XX123 debited ₹13575. Info: Shopping Amazon.,Legit
Get ₹36835 instantly credited. Apply now at http://fake155.com.,Scam
Congratulations! You won ₹20477. Claim now: http://fake155.com,Scam
RBI Alert: Never share OTP. Bank officials never ask for it.,Legit
Axis Bank: A/c XX123 debited ₹15728. Info: Shopping Amazon.,Legit
"Dear customer, update your KYC immediately at http://fake248.com.",Scam
Your loan of ₹20562 has been approved. Click http://fake346.com to claim.,Scam
Paytm: ₹47646 received from 98XXXXXX via UPI.,Legit
"Dear user, your EMI of ₹1796 is due on 5th. Pay via app.",Legit
Thank you for your payment of ₹42576.,Legit
Your account has been credited with ₹2834. Bal: ₹19822.,Legit
Urgent: Your PAN is flagged. Click http://fake755.com to verify.,Scam
